date,year,month,day,6138 ダイジェット工業(株),5009 富士興産(株),6185 ＳＭＮ(株),3667 (株)ｅｎｉｓｈ,レオパレス21：前日比,レオパレス21：翌日比
2020-08-25,2020,8,25,43.0,-4.0,-10.0,7.0,4.0,2.0
2020-08-24,2020,8,24,12.0,21.0,-29.0,-7.0,-3.0,4.0
2020-08-21,2020,8,21,16.0,41.0,32.0,20.0,6.0,-3.0
2020-08-20,2020,8,20,11.0,4.0,-1.0,-27.0,-4.0,6.0
2020-08-19,2020,8,19,-32.0,30.0,33.0,-10.0,5.0,-4.0
2020-08-18,2020,8,18,0.0,4.0,20.0,-12.0,3.0,5.0
2020-08-17,2020,8,17,25.0,18.0,-2.0,68.0,-5.0,3.0
2020-08-14,2020,8,14,-32.0,16.0,-13.0,17.0,-4.0,-5.0
2020-08-13,2020,8,13,44.0,3.0,-3.0,5.0,-3.0,-4.0
2020-08-12,2020,8,12,50.0,25.0,0.0,-60.0,14.0,-3.0
2020-08-07,2020,8,7,-22.0,-1.0,-21.0,-34.0,-1.0,14.0
2020-08-06,2020,8,6,-10.0,-8.0,-28.0,-88.0,-1.0,-1.0
2020-08-05,2020,8,5,-3.0,13.0,5.0,-11.0,-2.0,-1.0
2020-08-04,2020,8,4,-10.0,15.0,10.0,-77.0,18.0,-2.0
2020-08-03,2020,8,3,-30.0,10.0,32.0,150.0,-5.0,18.0
2020-07-31,2020,7,31,-45.0,-17.0,-185.0,63.0,-11.0,-5.0
2020-07-30,2020,7,30,-37.0,7.0,108.0,-16.0,-5.0,-11.0
2020-07-29,2020,7,29,-30.0,-8.0,-22.0,8.0,-7.0,-5.0
2020-07-28,2020,7,28,-27.0,-13.0,1.0,47.0,-6.0,-7.0
2020-07-27,2020,7,27,31.0,8.0,-19.0,-13.0,0.0,-6.0
2020-07-22,2020,7,22,-25.0,5.0,-7.0,-34.0,1.0,0.0
2020-07-21,2020,7,21,41.0,0.0,29.0,59.0,-1.0,1.0
2020-07-17,2020,7,17,16.0,-6.0,-18.0,-1.0,1.0,-1.0
2020-07-16,2020,7,16,-4.0,-4.0,-12.0,-2.0,-2.0,1.0
2020-07-15,2020,7,15,37.0,5.0,-14.0,-21.0,1.0,-2.0
2020-07-14,2020,7,14,54.0,33.0,14.0,82.0,11.0,1.0
2020-07-10,2020,7,10,60.0,-20.0,-24.0,-49.0,-9.0,11.0
2020-07-09,2020,7,9,-68.0,-4.0,-29.0,-42.0,-5.0,-9.0
2020-07-08,2020,7,8,-9.0,-9.0,13.0,51.0,9.0,-5.0
2020-07-07,2020,7,7,33.0,-1.0,-26.0,53.0,7.0,9.0
2020-07-06,2020,7,6,-21.0,10.0,18.0,8.0,-5.0,7.0
2020-07-03,2020,7,3,69.0,-9.0,16.0,-10.0,11.0,-5.0
2020-07-02,2020,7,2,11.0,-13.0,-18.0,36.0,-36.0,11.0
2020-07-01,2020,7,1,-3.0,9.0,-60.0,19.0,-11.0,-36.0
2020-06-30,2020,6,30,-32.0,6.0,10.0,40.0,-25.0,-11.0
2020-06-25,2020,6,25,35.0,-12.0,-16.0,40.0,-13.0,-25.0
2020-06-24,2020,6,24,-32.0,-4.0,40.0,2.0,-15.0,-13.0
2020-06-23,2020,6,23,26.0,-7.0,14.0,6.0,6.0,-15.0
2020-06-22,2020,6,22,-1.0,4.0,-16.0,-4.0,-1.0,6.0
2020-06-19,2020,6,19,-26.0,-1.0,-17.0,25.0,4.0,-1.0
2020-06-18,2020,6,18,-31.0,-2.0,-20.0,14.0,11.0,4.0
2020-06-17,2020,6,17,2.0,-8.0,-2.0,16.0,5.0,11.0
2020-06-16,2020,6,16,0.0,-8.0,27.0,-13.0,9.0,5.0
2020-06-15,2020,6,15,38.0,40.0,145.0,22.0,-9.0,9.0
2020-06-12,2020,6,12,2.0,-30.0,17.0,-43.0,-1.0,-9.0
2020-06-11,2020,6,11,-50.0,-19.0,-44.0,2.0,-10.0,-1.0
2020-06-10,2020,6,10,-20.0,-26.0,-72.0,-12.0,2.0,-10.0
2020-06-09,2020,6,9,-3.0,-7.0,-21.0,-4.0,2.0,2.0
2020-06-08,2020,6,8,3.0,13.0,-18.0,-12.0,-11.0,2.0
2020-06-05,2020,6,5,-4.0,4.0,-6.0,-17.0,21.0,-11.0
2020-06-04,2020,6,4,13.0,-10.0,22.0,42.0,-37.0,21.0
2020-06-03,2020,6,3,19.0,2.0,-2.0,16.0,1.0,-37.0
2020-06-02,2020,6,2,-33.0,-12.0,52.0,-18.0,-2.0,1.0
2020-06-01,2020,6,1,-12.0,10.0,114.0,-48.0,6.0,-2.0
2020-05-29,2020,5,29,10.0,-3.0,30.0,27.0,-14.0,6.0
2020-05-28,2020,5,28,-40.0,-11.0,13.0,-10.0,10.0,-14.0
2020-05-27,2020,5,27,36.0,-7.0,17.0,100.0,2.0,10.0
2020-05-26,2020,5,26,0.0,7.0,4.0,80.0,8.0,2.0
2020-05-25,2020,5,25,-2.0,14.0,-11.0,-8.0,5.0,8.0
2020-05-22,2020,5,22,-7.0,3.0,5.0,-12.0,1.0,5.0
2020-05-21,2020,5,21,-4.0,-6.0,-14.0,24.0,4.0,1.0
2020-05-18,2020,5,18,-37.0,24.0,3.0,13.0,8.0,4.0
2020-05-15,2020,5,15,137.0,49.0,28.0,10.0,-5.0,8.0
2020-05-14,2020,5,14,-69.0,36.0,-28.0,8.0,-7.0,-5.0
2020-05-13,2020,5,13,0.0,5.0,30.0,3.0,0.0,-7.0
2020-05-12,2020,5,12,43.0,-24.0,-42.0,13.0,-2.0,0.0
2020-05-11,2020,5,11,44.0,14.0,13.0,-15.0,12.0,-2.0
2020-05-08,2020,5,8,4.0,-5.0,4.0,-3.0,9.0,12.0
2020-05-07,2020,5,7,0.0,8.0,9.0,-1.0,5.0,9.0
2020-05-01,2020,5,1,36.0,2.0,9.0,23.0,-8.0,5.0
2020-04-30,2020,4,30,5.0,-1.0,5.0,-2.0,-1.0,-8.0
2020-04-28,2020,4,28,-110.0,-9.0,0.0,14.0,3.0,-1.0
2020-04-27,2020,4,27,21.0,-2.0,15.0,-20.0,6.0,3.0
2020-04-24,2020,4,24,-5.0,3.0,-17.0,25.0,-3.0,6.0
2020-04-23,2020,4,23,-10.0,2.0,36.0,9.0,10.0,-3.0
2020-04-22,2020,4,22,-29.0,-4.0,70.0,0.0,-4.0,10.0
2020-04-21,2020,4,21,97.0,19.0,32.0,-4.0,-9.0,-4.0
2020-04-20,2020,4,20,5.0,-10.0,-2.0,-1.0,9.0,-9.0
2020-04-17,2020,4,17,17.0,-9.0,-26.0,-23.0,1.0,9.0
2020-04-16,2020,4,16,74.0,0.0,31.0,-25.0,-13.0,1.0
2020-04-15,2020,4,15,-73.0,-2.0,11.0,1.0,-6.0,-13.0
2020-04-14,2020,4,14,25.0,10.0,16.0,-2.0,1.0,-6.0
2020-04-13,2020,4,13,31.0,-16.0,-35.0,12.0,-10.0,1.0
2020-04-10,2020,4,10,1.0,5.0,19.0,11.0,-3.0,-10.0
2020-04-09,2020,4,9,75.0,4.0,-13.0,7.0,-2.0,-3.0
2020-04-08,2020,4,8,14.0,-8.0,57.0,-14.0,2.0,-2.0
2020-04-07,2020,4,7,21.0,12.0,65.0,-4.0,3.0,2.0
2020-04-06,2020,4,6,-32.0,19.0,75.0,13.0,3.0,3.0
2020-04-03,2020,4,3,1.0,-3.0,1.0,6.0,-2.0,3.0
2020-04-02,2020,4,2,-3.0,27.0,-10.0,-10.0,-6.0,-2.0
2020-04-01,2020,4,1,-45.0,4.0,-4.0,37.0,-5.0,-6.0
2020-03-31,2020,3,31,-2.0,5.0,-22.0,-15.0,-3.0,-5.0
2020-03-30,2020,3,30,-116.0,-14.0,-20.0,-14.0,-1.0,-3.0
2020-03-27,2020,3,27,0.0,-15.0,17.0,-14.0,-2.0,-1.0
2020-03-26,2020,3,26,-2.0,-13.0,-50.0,11.0,-13.0,-2.0
2020-03-25,2020,3,25,48.0,9.0,-3.0,-5.0,10.0,-13.0
2020-03-24,2020,3,24,-3.0,-4.0,-21.0,6.0,-4.0,10.0
2020-03-23,2020,3,23,92.0,18.0,27.0,-15.0,9.0,-4.0
2020-03-19,2020,3,19,59.0,27.0,69.0,9.0,-26.0,9.0
2020-03-18,2020,3,18,64.0,30.0,33.0,14.0,3.0,-26.0
2020-03-17,2020,3,17,20.0,-29.0,-14.0,-1.0,22.0,3.0
2020-03-16,2020,3,16,-2.0,-31.0,-30.0,9.0,5.0,22.0
2020-03-13,2020,3,13,39.0,16.0,-13.0,20.0,-26.0,5.0
2020-03-12,2020,3,12,44.0,-7.0,2.0,28.0,-18.0,-26.0
2020-03-11,2020,3,11,-105.0,-80.0,-14.0,4.0,-11.0,-18.0
2020-03-10,2020,3,10,27.0,-29.0,-16.0,-41.0,20.0,-11.0
2020-03-09,2020,3,9,-11.0,-11.0,-23.0,-11.0,-27.0,20.0
2020-03-06,2020,3,6,-6.0,4.0,12.0,-22.0,-19.0,-27.0
2020-03-05,2020,3,5,-18.0,-62.0,-57.0,1.0,2.0,-19.0
2020-03-04,2020,3,4,-43.0,-32.0,-27.0,-54.0,0.0,2.0
2020-03-03,2020,3,3,-27.0,-3.0,9.0,-23.0,-3.0,0.0
2020-03-02,2020,3,2,-55.0,9.0,-5.0,-3.0,19.0,-3.0
2020-02-28,2020,2,28,-71.0,-9.0,-5.0,10.0,-19.0,19.0
2020-02-27,2020,2,27,1.0,10.0,62.0,-17.0,-22.0,-19.0
2020-02-26,2020,2,26,-34.0,-49.0,-117.0,45.0,-20.0,-22.0
2020-02-25,2020,2,25,-6.0,-23.0,1.0,-39.0,-25.0,-20.0
2020-02-21,2020,2,21,-11.0,2.0,-5.0,-18.0,11.0,-25.0
2020-02-20,2020,2,20,-100.0,-24.0,-46.0,-2.0,14.0,11.0
2020-02-19,2020,2,19,-36.0,-10.0,-4.0,-19.0,-6.0,14.0
2020-02-18,2020,2,18,0.0,-3.0,-2.0,2.0,13.0,-6.0
2020-02-17,2020,2,17,-3.0,14.0,20.0,-10.0,-3.0,13.0
2020-02-14,2020,2,14,0.0,-10.0,-20.0,19.0,-10.0,-3.0
2020-02-13,2020,2,13,-28.0,-8.0,-23.0,-12.0,16.0,-10.0
2020-02-12,2020,2,12,13.0,2.0,-13.0,-10.0,1.0,16.0
2020-02-10,2020,2,10,1.0,-9.0,-11.0,-25.0,50.0,1.0
2020-02-07,2020,2,7,1.0,1.0,-7.0,-9.0,6.0,50.0
2020-02-06,2020,2,6,-35.0,-12.0,-17.0,7.0,-3.0,6.0
2020-02-05,2020,2,5,21.0,36.0,-1.0,-6.0,2.0,-3.0
2020-02-04,2020,2,4,10.0,8.0,-7.0,-12.0,11.0,2.0
2020-02-03,2020,2,3,4.0,5.0,29.0,5.0,-2.0,11.0
2020-01-31,2020,1,31,-14.0,7.0,12.0,2.0,-1.0,-2.0
2020-01-30,2020,1,30,37.0,0.0,-1.0,8.0,-29.0,-1.0
2020-01-29,2020,1,29,59.0,2.0,83.0,-11.0,-10.0,-29.0
2020-01-28,2020,1,28,-145.0,-13.0,-15.0,2.0,-19.0,-10.0
2020-01-27,2020,1,27,3.0,-7.0,-15.0,-15.0,-11.0,-19.0
2020-01-24,2020,1,24,4.0,4.0,-9.0,-1.0,-7.0,-11.0
2020-01-23,2020,1,23,-34.0,-22.0,-26.0,-3.0,-7.0,-7.0
2020-01-22,2020,1,22,11.0,-4.0,-50.0,-44.0,-9.0,-7.0
2020-01-21,2020,1,21,-6.0,-6.0,-4.0,-39.0,25.0,-9.0
2020-01-20,2020,1,20,8.0,26.0,-17.0,-12.0,9.0,25.0
2020-01-17,2020,1,17,2.0,11.0,-4.0,-27.0,4.0,9.0
2020-01-16,2020,1,16,10.0,13.0,-19.0,-16.0,-3.0,4.0
2020-01-15,2020,1,15,-1.0,-14.0,-13.0,-48.0,-15.0,-3.0
2020-01-14,2020,1,14,-6.0,-9.0,24.0,-27.0,1.0,-15.0
2020-01-10,2020,1,10,5.0,2.0,5.0,6.0,6.0,1.0
2020-01-09,2020,1,9,-8.0,-16.0,26.0,-24.0,4.0,6.0
2020-01-08,2020,1,8,5.0,-6.0,0.0,98.0,8.0,4.0
2020-01-07,2020,1,7,14.0,-2.0,27.0,54.0,13.0,8.0
2020-01-06,2020,1,6,-12.0,-15.0,-27.0,14.0,1.0,13.0
2019-12-30,2019,12,30,4.0,0.0,21.0,-33.0,3.0,1.0
2019-12-27,2019,12,27,-16.0,3.0,-13.0,21.0,3.0,3.0
2019-12-26,2019,12,26,-22.0,-19.0,10.0,-19.0,5.0,3.0
2019-12-25,2019,12,25,7.0,30.0,52.0,-1.0,0.0,5.0
2019-12-24,2019,12,24,5.0,7.0,-8.0,-2.0,6.0,0.0
2019-12-23,2019,12,23,-1.0,-4.0,-3.0,13.0,-14.0,6.0
2019-12-20,2019,12,20,3.0,4.0,-18.0,-9.0,-1.0,-14.0
2019-12-19,2019,12,19,-16.0,-15.0,3.0,-2.0,20.0,-1.0
2019-12-18,2019,12,18,-10.0,-6.0,5.0,5.0,-26.0,20.0
2019-12-17,2019,12,17,4.0,-2.0,-4.0,22.0,-8.0,-26.0
2019-12-16,2019,12,16,8.0,-13.0,-8.0,7.0,24.0,-8.0
2019-12-13,2019,12,13,-2.0,0.0,4.0,-8.0,18.0,24.0
2019-12-12,2019,12,12,-5.0,-4.0,-8.0,16.0,-4.0,18.0
2019-12-11,2019,12,11,23.0,7.0,-3.0,-9.0,14.0,-4.0
2019-12-10,2019,12,10,1.0,-17.0,-32.0,-3.0,6.0,14.0
2019-12-09,2019,12,9,-14.0,-8.0,-9.0,-17.0,5.0,6.0
2019-12-06,2019,12,6,-6.0,-1.0,27.0,-4.0,13.0,5.0
2019-12-05,2019,12,5,19.0,1.0,-4.0,24.0,1.0,13.0
2019-12-04,2019,12,4,1.0,6.0,6.0,-3.0,2.0,1.0
2019-12-03,2019,12,3,-10.0,-6.0,-21.0,0.0,-1.0,2.0
2019-12-02,2019,12,2,9.0,-11.0,-7.0,19.0,3.0,-1.0
2019-11-29,2019,11,29,10.0,7.0,-19.0,-2.0,0.0,3.0
2019-11-28,2019,11,28,-17.0,-7.0,-5.0,-7.0,-4.0,0.0
2019-11-27,2019,11,27,-14.0,-19.0,-11.0,-4.0,-4.0,-4.0
2019-11-26,2019,11,26,7.0,31.0,-18.0,-2.0,-7.0,-4.0
2019-11-25,2019,11,25,0.0,22.0,-8.0,-32.0,6.0,-7.0
2019-11-22,2019,11,22,-22.0,-11.0,0.0,-16.0,-5.0,6.0
2019-11-21,2019,11,21,45.0,8.0,-3.0,10.0,-7.0,-5.0
2019-11-20,2019,11,20,-7.0,5.0,23.0,0.0,-12.0,-7.0
2019-11-19,2019,11,19,-13.0,5.0,-1.0,21.0,6.0,-12.0
2019-11-18,2019,11,18,5.0,-15.0,6.0,-21.0,25.0,6.0
2019-11-15,2019,11,15,0.0,10.0,-14.0,20.0,5.0,25.0
2019-11-14,2019,11,14,5.0,-8.0,17.0,1.0,8.0,5.0
2019-11-13,2019,11,13,-33.0,7.0,-14.0,4.0,-2.0,8.0
2019-11-12,2019,11,12,-19.0,-11.0,12.0,11.0,11.0,-2.0
2019-11-11,2019,11,11,11.0,-15.0,-4.0,-8.0,-12.0,11.0
2019-11-08,2019,11,8,-32.0,9.0,-35.0,-16.0,-4.0,-12.0
2019-11-07,2019,11,7,-27.0,9.0,-3.0,12.0,-11.0,-4.0
2019-11-06,2019,11,6,-3.0,21.0,27.0,22.0,-8.0,-11.0
2019-11-05,2019,11,5,4.0,-16.0,-24.0,-25.0,0.0,-8.0
2019-11-01,2019,11,1,-10.0,-23.0,96.0,20.0,4.0,0.0
2019-10-31,2019,10,31,-41.0,13.0,33.0,-14.0,1.0,4.0
2019-10-30,2019,10,30,-40.0,31.0,24.0,3.0,-2.0,1.0
2019-10-29,2019,10,29,85.0,-5.0,-27.0,-7.0,9.0,-2.0
2019-10-28,2019,10,28,3.0,12.0,19.0,-47.0,-7.0,9.0
2019-10-25,2019,10,25,0.0,14.0,-16.0,-8.0,-8.0,-7.0
2019-10-24,2019,10,24,6.0,-6.0,4.0,-43.0,22.0,-8.0
2019-10-23,2019,10,23,-34.0,-3.0,54.0,-43.0,-7.0,22.0
2019-10-21,2019,10,21,28.0,1.0,30.0,-36.0,11.0,-7.0
2019-10-18,2019,10,18,10.0,13.0,-1.0,-48.0,-5.0,11.0
2019-10-17,2019,10,17,5.0,7.0,8.0,-2.0,-1.0,-5.0
2019-10-16,2019,10,16,18.0,-4.0,-19.0,10.0,11.0,-1.0
2019-10-15,2019,10,15,16.0,0.0,0.0,-49.0,-5.0,11.0
2019-10-11,2019,10,11,3.0,-9.0,3.0,28.0,-10.0,-5.0
2019-10-10,2019,10,10,-14.0,0.0,5.0,15.0,-2.0,-10.0
2019-10-09,2019,10,9,7.0,-7.0,-29.0,19.0,14.0,-2.0
2019-10-08,2019,10,8,3.0,-6.0,-15.0,3.0,9.0,14.0
2019-10-07,2019,10,7,-36.0,-10.0,19.0,-31.0,-10.0,9.0
2019-10-04,2019,10,4,-13.0,9.0,4.0,47.0,3.0,-10.0
2019-10-03,2019,10,3,36.0,7.0,19.0,-13.0,6.0,3.0
2019-10-02,2019,10,2,-12.0,4.0,7.0,-40.0,10.0,6.0
2019-10-01,2019,10,1,-71.0,10.0,11.0,-20.0,4.0,10.0
2019-09-30,2019,9,30,-6.0,-7.0,-3.0,18.0,0.0,4.0
2019-09-27,2019,9,27,-3.0,-23.0,48.0,-11.0,-6.0,0.0
2019-09-26,2019,9,26,24.0,-9.0,-10.0,-14.0,5.0,-6.0
2019-09-25,2019,9,25,60.0,-6.0,19.0,-37.0,3.0,5.0
2019-09-24,2019,9,24,32.0,-4.0,2.0,-7.0,-1.0,3.0
2019-09-20,2019,9,20,22.0,-1.0,-15.0,28.0,-5.0,-1.0
2019-09-19,2019,9,19,6.0,15.0,18.0,-81.0,-1.0,-5.0
2019-09-18,2019,9,18,0.0,-16.0,24.0,63.0,-8.0,-1.0
2019-09-17,2019,9,17,34.0,-3.0,-2.0,90.0,-9.0,-8.0
2019-09-13,2019,9,13,-22.0,-42.0,-24.0,17.0,1.0,-9.0
2019-09-12,2019,9,12,0.0,31.0,14.0,-84.0,-11.0,1.0
2019-09-11,2019,9,11,11.0,17.0,22.0,-232.0,11.0,-11.0
2019-09-10,2019,9,10,8.0,-11.0,24.0,41.0,-8.0,11.0
2019-09-09,2019,9,9,6.0,10.0,5.0,18.0,-21.0,-8.0
2019-09-06,2019,9,6,31.0,11.0,6.0,35.0,-3.0,-21.0
2019-09-05,2019,9,5,-14.0,8.0,0.0,-61.0,14.0,-3.0
2019-09-04,2019,9,4,12.0,-1.0,-1.0,-56.0,5.0,14.0
2019-09-03,2019,9,3,-26.0,2.0,2.0,148.0,-5.0,5.0
2019-09-02,2019,9,2,1.0,-22.0,-8.0,-26.0,2.0,-5.0
2019-08-30,2019,8,30,-27.0,10.0,13.0,-38.0,16.0,2.0
2019-08-29,2019,8,29,19.0,2.0,-12.0,71.0,10.0,16.0
2019-08-28,2019,8,28,7.0,17.0,6.0,14.0,2.0,10.0
2019-08-27,2019,8,27,-7.0,-13.0,3.0,8.0,10.0,2.0
2019-08-26,2019,8,26,46.0,0.0,-31.0,-121.0,7.0,10.0
2019-08-23,2019,8,23,2.0,-1.0,3.0,12.0,8.0,7.0
2019-08-22,2019,8,22,0.0,-8.0,-23.0,-125.0,-1.0,8.0
2019-08-21,2019,8,21,-18.0,-15.0,-17.0,150.0,-9.0,-1.0
2019-08-20,2019,8,20,0.0,-7.0,-34.0,29.0,-6.0,-9.0
2019-08-19,2019,8,19,8.0,-6.0,3.0,57.0,18.0,-6.0
2019-08-16,2019,8,16,-18.0,11.0,27.0,11.0,1.0,18.0
2019-08-15,2019,8,15,14.0,-32.0,-12.0,61.0,0.0,1.0
2019-08-14,2019,8,14,-10.0,9.0,-9.0,100.0,0.0,0.0
2019-08-13,2019,8,13,-14.0,-35.0,-23.0,-16.0,11.0,0.0
2019-08-09,2019,8,9,-32.0,-16.0,-1.0,-7.0,-9.0,11.0
2019-08-08,2019,8,8,-8.0,13.0,-16.0,26.0,3.0,-9.0
2019-08-07,2019,8,7,35.0,-4.0,17.0,-20.0,7.0,3.0
2019-08-06,2019,8,6,30.0,-5.0,-7.0,1.0,2.0,7.0
2019-08-05,2019,8,5,-114.0,-11.0,10.0,114.0,1.0,2.0
2019-08-02,2019,8,2,-74.0,-1.0,2.0,-13.0,-6.0,1.0
2019-08-01,2019,8,1,-77.0,-66.0,-67.0,81.0,-2.0,-6.0
2019-07-31,2019,7,31,-6.0,-15.0,-20.0,-70.0,-4.0,-2.0
2019-07-30,2019,7,30,-50.0,5.0,-76.0,38.0,2.0,-4.0
2019-07-29,2019,7,29,171.0,1.0,19.0,60.0,-7.0,2.0
2019-07-26,2019,7,26,27.0,9.0,0.0,35.0,-10.0,-7.0
2019-07-25,2019,7,25,-54.0,-7.0,-16.0,7.0,-1.0,-10.0
2019-07-24,2019,7,24,37.0,-10.0,1.0,-1.0,0.0,-1.0
2019-07-23,2019,7,23,21.0,-3.0,-1.0,-7.0,-8.0,0.0
2019-07-22,2019,7,22,0.0,-8.0,1.0,7.0,13.0,-8.0
2019-07-19,2019,7,19,15.0,-6.0,2.0,4.0,1.0,13.0
2019-07-18,2019,7,18,13.0,-6.0,57.0,-21.0,0.0,1.0
2019-07-17,2019,7,17,-16.0,4.0,13.0,9.0,2.0,0.0
2019-07-16,2019,7,16,-12.0,1.0,-27.0,4.0,-4.0,2.0
2019-07-12,2019,7,12,40.0,-2.0,-32.0,-8.0,-6.0,-4.0
2019-07-11,2019,7,11,-129.0,-87.0,15.0,22.0,6.0,-6.0
2019-07-10,2019,7,10,-19.0,-34.0,-24.0,-8.0,-19.0,6.0
2019-07-09,2019,7,9,56.0,5.0,3.0,-33.0,-3.0,-19.0
2019-07-08,2019,7,8,-110.0,-6.0,-41.0,0.0,-18.0,-3.0
2019-07-05,2019,7,5,-252.0,-136.0,-55.0,2.0,0.0,-18.0
2019-07-04,2019,7,4,400.0,-333.0,22.0,2.0,2.0,0.0
2019-07-03,2019,7,3,300.0,300.0,150.0,-17.0,0.0,2.0
2019-07-02,2019,7,2,-3.0,28.0,27.0,97.0,0.0,0.0
2019-07-01,2019,7,1,12.0,40.0,3.0,5.0,3.0,0.0
2019-06-28,2019,6,28,23.0,57.0,8.0,-6.0,-10.0,3.0
2019-06-27,2019,6,27,-12.0,-4.0,21.0,-21.0,-10.0,-10.0
2019-06-26,2019,6,26,23.0,63.0,-12.0,29.0,23.0,-10.0
2019-06-25,2019,6,25,-25.0,48.0,26.0,6.0,-2.0,23.0
2019-06-24,2019,6,24,9.0,27.0,-35.0,2.0,-1.0,-2.0
2019-06-21,2019,6,21,11.0,0.0,-20.0,5.0,1.0,-1.0
2019-06-20,2019,6,20,0.0,-20.0,-18.0,-16.0,-5.0,1.0
2019-06-19,2019,6,19,14.0,6.0,-10.0,5.0,1.0,-5.0
2019-06-18,2019,6,18,8.0,-12.0,22.0,-8.0,1.0,1.0
2019-06-17,2019,6,17,-31.0,-2.0,9.0,7.0,-18.0,1.0
2019-06-14,2019,6,14,-2.0,13.0,-30.0,8.0,-12.0,-18.0
2019-06-13,2019,6,13,1.0,19.0,-16.0,-12.0,-2.0,-12.0
2019-06-12,2019,6,12,5.0,45.0,23.0,-31.0,-23.0,-2.0
2019-06-11,2019,6,11,10.0,54.0,-10.0,14.0,-1.0,-23.0
2019-06-10,2019,6,10,20.0,44.0,-14.0,9.0,12.0,-1.0
2019-06-07,2019,6,7,7.0,59.0,7.0,-19.0,46.0,12.0
2019-06-06,2019,6,6,-28.0,-42.0,7.0,20.0,0.0,46.0
2019-06-05,2019,6,5,-23.0,26.0,9.0,-10.0,-14.0,0.0
2019-06-04,2019,6,4,4.0,28.0,2.0,-31.0,-11.0,-14.0
2019-06-03,2019,6,3,39.0,11.0,28.0,-4.0,-15.0,-11.0
2019-05-31,2019,5,31,-50.0,14.0,-3.0,28.0,19.0,-15.0
2019-05-30,2019,5,30,16.0,4.0,-18.0,53.0,-11.0,19.0
2019-05-29,2019,5,29,-82.0,3.0,1.0,-31.0,-12.0,-11.0
2019-05-28,2019,5,28,-37.0,9.0,-49.0,-14.0,-80.0,-12.0
2019-05-27,2019,5,27,-42.0,-5.0,-13.0,-23.0,4.0,-80.0
